timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1569224875730,12661,HTTPREQ Manaul Assign,200,OK,manual assign job 1-21,text,true,,999,903,70,70,12661,0,48
1569224875729,12661,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-21,,true,,999,903,70,70,12661,6,48
1569224888334,78,JSR223 Sampler,200,OK,manual assign job 1-3,text,true,,320,0,70,70,0,0,0
1569224888399,69,JSR223 Sampler,200,OK,manual assign job 1-21,text,true,,320,0,70,70,0,0,0
1569224874768,14077,HTTPREQ Manaul Assign,200,OK,manual assign job 1-42,text,true,,999,903,70,70,14077,0,50
1569224874768,14077,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-42,,true,,999,903,70,70,14077,4,50
1569224888852,58,JSR223 Sampler,200,OK,manual assign job 1-42,text,true,,320,0,70,70,0,0,0
1569224876223,12745,HTTPREQ Manaul Assign,200,OK,manual assign job 1-13,text,true,,999,903,70,70,12745,0,47
1569224876223,12745,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-13,,true,,999,903,70,70,12745,4,47
1569224888974,85,JSR223 Sampler,200,OK,manual assign job 1-13,text,true,,320,0,70,70,0,0,0
1569224876557,12672,HTTPREQ Manaul Assign,200,OK,manual assign job 1-16,text,true,,999,903,70,70,12672,0,53
1569224876557,12672,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-16,,true,,999,903,70,70,12672,4,53
1569224889236,58,JSR223 Sampler,200,OK,manual assign job 1-16,text,true,,320,0,70,70,0,0,0
1569224875539,13761,HTTPREQ Manaul Assign,200,OK,manual assign job 1-69,text,true,,999,903,70,70,13761,0,47
1569224875539,13761,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-69,,true,,999,903,70,70,13761,3,47
1569224875016,14323,HTTPREQ Manaul Assign,200,OK,manual assign job 1-43,text,true,,1000,903,70,70,14323,0,46
1569224875016,14323,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-43,,true,,1000,903,70,70,14323,3,46
1569224875780,13576,HTTPREQ Manaul Assign,200,OK,manual assign job 1-25,text,true,,999,903,70,70,13576,0,46
1569224875780,13576,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-25,,true,,999,903,70,70,13576,4,46
1569224889304,58,JSR223 Sampler,200,OK,manual assign job 1-69,text,true,,320,0,70,70,0,0,0
1569224876741,12648,HTTPREQ Manaul Assign,200,OK,manual assign job 1-46,text,true,,999,903,70,70,12648,0,49
1569224876741,12648,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-46,,true,,999,903,70,70,12648,3,49
1569224889344,59,JSR223 Sampler,200,OK,manual assign job 1-43,text,true,,320,0,70,70,0,0,0
1569224889362,62,JSR223 Sampler,200,OK,manual assign job 1-25,text,true,,320,0,70,70,0,0,0
1569224889394,62,JSR223 Sampler,200,OK,manual assign job 1-46,text,true,,320,0,70,70,0,0,0
1569224874966,14572,HTTPREQ Manaul Assign,200,OK,manual assign job 1-11,text,true,,999,903,70,70,14572,0,48
1569224874966,14572,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-11,,true,,999,903,70,70,14572,4,48
1569224875787,13792,HTTPREQ Manaul Assign,200,OK,manual assign job 1-66,text,true,,998,903,70,70,13792,0,47
1569224875787,13792,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-66,,true,,998,903,70,70,13792,3,47
1569224876793,12801,HTTPREQ Manaul Assign,200,OK,manual assign job 1-62,text,true,,998,903,70,70,12801,0,49
1569224876792,12801,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-62,,true,,998,903,70,70,12801,7,49
1569224889544,62,JSR223 Sampler,200,OK,manual assign job 1-11,text,true,,320,0,70,70,0,0,0
1569224889584,62,JSR223 Sampler,200,OK,manual assign job 1-66,text,true,,320,0,70,70,0,0,0
1569224889604,89,JSR223 Sampler,200,OK,manual assign job 1-62,text,true,,320,0,70,70,0,0,0
1569224875358,14389,HTTPREQ Manaul Assign,200,OK,manual assign job 1-40,text,true,,998,903,70,70,14389,0,48
1569224875358,14389,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-40,,true,,998,903,70,70,14389,4,48
1569224889753,57,JSR223 Sampler,200,OK,manual assign job 1-40,text,true,,320,0,70,70,0,0,0
1569224875018,15145,HTTPREQ Manaul Assign,200,OK,manual assign job 1-5,text,true,,999,902,70,70,15145,0,48
1569224875018,15145,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-5,,true,,999,902,70,70,15145,4,48
1569224890169,58,JSR223 Sampler,200,OK,manual assign job 1-5,text,true,,320,0,70,70,0,0,0
1569224878024,12413,HTTPREQ Manaul Assign,200,OK,manual assign job 1-9,text,true,,999,902,70,70,12413,0,46
1569224878023,12413,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-9,,true,,999,902,70,70,12413,5,46
1569224876739,13733,HTTPREQ Manaul Assign,200,OK,manual assign job 1-12,text,true,,999,903,70,70,13733,0,47
1569224876739,13733,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-12,,true,,999,903,70,70,13733,3,47
1569224890443,58,JSR223 Sampler,200,OK,manual assign job 1-9,text,true,,320,0,70,70,0,0,0
1569224890477,57,JSR223 Sampler,200,OK,manual assign job 1-12,text,true,,320,0,70,70,0,0,0
1569224878199,12379,HTTPREQ Manaul Assign,200,OK,manual assign job 1-68,text,true,,999,903,70,70,12379,0,47
1569224878199,12379,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-68,,true,,999,903,70,70,12379,3,47
1569224890583,58,JSR223 Sampler,200,OK,manual assign job 1-68,text,true,,320,0,70,70,0,0,0
1569224877982,12768,HTTPREQ Manaul Assign,200,OK,manual assign job 1-64,text,true,,998,903,70,70,12768,0,48
1569224877982,12768,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-64,,true,,998,903,70,70,12768,4,48
1569224890756,58,JSR223 Sampler,200,OK,manual assign job 1-64,text,true,,320,0,70,70,0,0,0
1569224878385,12445,HTTPREQ Manaul Assign,200,OK,manual assign job 1-59,text,true,,999,903,70,70,12445,0,49
1569224878384,12445,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-59,,true,,999,903,70,70,12445,5,49
1569224890836,57,JSR223 Sampler,200,OK,manual assign job 1-59,text,true,,320,0,70,70,0,0,0
1569224877638,13328,HTTPREQ Manaul Assign,200,OK,manual assign job 1-26,text,true,,999,903,70,70,13327,0,48
1569224877638,13328,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-26,,true,,999,903,70,70,13327,3,48
1569224890971,57,JSR223 Sampler,200,OK,manual assign job 1-26,text,true,,320,0,70,70,0,0,0
1569224876813,14290,HTTPREQ Manaul Assign,200,OK,manual assign job 1-51,text,true,,999,903,70,70,14290,0,49
1569224876813,14290,ManualAssignThread,200,"Number of samples in transaction : 1, number of failing samples : 0",manual assign job 1-51,,true,,999,903,70,70,14290,4,49
1569224891109,58,JSR223 Sampler,200,OK,manual assign job 1-51,text,true,,320,0,70,70,0,0,0
1569224878637,12537,HTTPREQ Manaul Assign,200,OK,manual assign job 1-28,text,true,,999,903,70,70,12537,0,49
